openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality
7,9,9,5,5,dependable
5,4,5,2,4,serious
5,5,7,2,4,serious
6,2,7,4,7,serious
2,4,7,1,3,responsible
6,4,7,5,5,serious
1,2,7,4,6,extraverted
4,5,7,4,4,serious
6,4,5,6,6,serious
5,4,4,6,4,serious
6,1,7,6,5,serious
4,4,4,4,3,responsible
4,5,5,5,2,responsible
4,4,4,4,5,serious
7,2,4,3,4,lively
6,6,5,7,6,extraverted
5,4,6,6,5,serious
5,3,5,6,7,serious
4,2,1,5,6,serious
5,4,4,5,4,extraverted
5,3,7,3,5,serious
5,7,3,7,6,dependable
4,5,6,5,5,serious
6,6,5,1,3,extraverted
6,1,5,5,6,extraverted
6,6,7,6,4,serious
4,6,3,5,4,extraverted
6,8,2,6,4,dependable
3,6,6,7,3,serious
4,2,3,5,4,responsible
4,4,6,4,3,serious
6,2,5,2,2,lively
5,5,1,7,6,extraverted
6,2,6,3,3,lively
7,4,7,5,5,serious
4,4,6,3,5,serious
2,4,5,5,6,serious
2,2,4,7,5,serious
3,7,3,3,7,extraverted
5,4,6,1,5,serious
5,4,6,2,1,responsible
2,5,4,6,3,responsible
3,6,6,1,6,serious
8,2,5,1,4,extraverted
4,6,6,3,6,dependable
5,6,3,3,8,serious
5,6,6,2,3,responsible
5,6,7,4,6,dependable
2,5,4,4,7,serious
5,7,1,3,6,extraverted
6,5,6,2,7,serious
5,5,5,4,3,serious
2,6,7,4,6,serious
4,5,5,6,2,lively
6,6,5,3,6,extraverted
4,7,6,2,5,serious
3,5,3,8,5,extraverted
4,4,5,6,4,serious
5,2,7,7,6,serious
6,4,5,2,6,serious
3,2,7,2,3,responsible
6,4,6,6,4,serious
7,5,5,1,5,dependable
5,5,4,2,7,serious
3,5,4,8,7,serious
4,5,5,2,4,responsible
1,4,6,7,5,serious
5,6,5,1,4,serious
3,4,6,4,7,serious
3,3,5,7,5,serious
5,1,1,5,5,serious
6,4,4,1,7,serious
3,6,5,5,6,serious
7,2,5,5,5,serious
3,3,3,5,4,responsible
4,6,5,4,4,extraverted
4,4,5,7,6,serious
5,4,2,5,8,serious
5,5,7,7,4,serious
5,7,7,4,5,extraverted
6,4,7,6,5,serious
7,5,4,6,6,serious
7,6,4,3,5,extraverted
5,6,5,7,3,extraverted
5,3,7,8,6,serious
6,2,7,6,4,lively
2,2,6,4,6,serious
4,3,4,5,6,serious
1,1,6,5,6,serious
6,3,5,6,4,serious
4,4,4,5,6,dependable
6,3,2,4,3,responsible
5,5,5,5,6,responsible
5,3,6,8,6,serious
6,2,5,6,7,serious
3,6,6,4,3,serious
5,4,4,5,5,serious
5,6,6,6,3,extraverted
5,5,8,6,5,serious
4,5,6,5,6,serious
6,5,5,6,3,extraverted
2,7,1,4,8,extraverted
6,6,1,2,2,extraverted
7,4,3,6,1,extraverted
5,5,4,6,4,dependable
4,7,4,6,8,serious
6,2,1,6,6,serious
5,6,2,5,5,extraverted
7,2,7,3,6,dependable
3,4,3,6,5,serious
6,1,1,7,6,serious
4,6,7,7,7,serious
6,1,5,6,4,lively
5,1,1,2,8,serious
5,5,6,6,5,extraverted
6,6,4,7,5,extraverted
4,1,5,7,5,serious
4,3,3,7,4,serious
5,1,5,7,6,serious
6,7,5,7,6,extraverted
6,2,5,8,1,lively
6,1,4,6,3,lively
4,1,2,7,5,responsible
7,4,5,7,7,serious
5,4,7,5,3,lively
7,2,1,6,5,serious
6,1,3,7,5,serious
5,5,3,7,6,responsible
4,1,6,6,4,responsible
5,5,5,4,6,serious
5,1,5,6,6,dependable
6,6,7,6,5,dependable
5,1,2,5,4,serious
6,6,6,4,4,serious
6,7,7,4,4,dependable
4,5,5,4,5,responsible
3,4,3,1,5,responsible
5,5,2,7,7,extraverted
7,2,5,5,5,serious
6,5,5,4,7,serious
5,3,6,6,5,serious
5,5,5,6,6,serious
6,1,7,3,7,serious
5,1,3,7,6,serious
5,3,2,7,7,dependable
6,4,3,5,4,extraverted
3,4,5,6,6,serious
6,3,6,7,5,serious
6,4,5,5,5,serious
4,4,1,7,6,serious
7,3,5,3,6,serious
6,1,6,4,4,lively
5,7,6,5,6,extraverted
5,6,5,4,4,extraverted
6,5,4,5,7,responsible
3,4,3,4,3,responsible
5,7,2,6,5,extraverted
3,5,7,3,6,serious
5,6,4,2,7,serious
3,5,3,3,2,responsible
5,6,5,6,1,extraverted
5,4,3,5,5,serious
4,3,2,6,6,dependable
3,4,7,6,6,serious
2,6,6,2,5,responsible
4,4,4,4,4,lively
6,6,5,6,5,extraverted
7,7,2,5,7,responsible
4,7,7,3,5,extraverted
3,3,5,4,5,serious
1,5,5,5,5,serious
1,5,2,7,6,serious
4,2,3,5,5,responsible
5,5,3,1,5,responsible
6,1,5,5,6,serious
6,3,3,6,5,serious
7,2,4,6,4,lively
7,3,4,4,5,serious
3,3,5,4,7,responsible
4,4,1,6,4,serious
7,1,4,5,4,lively
5,6,6,3,4,serious
6,5,4,4,5,extraverted
4,4,1,5,6,extraverted
4,4,4,6,3,extraverted
7,3,3,5,6,serious
4,3,6,6,3,serious
6,6,2,3,5,extraverted
6,6,6,3,3,extraverted
5,5,2,7,5,serious
6,4,6,6,5,serious
7,7,5,6,6,extraverted
3,6,7,4,3,lively
7,5,7,5,1,lively
3,4,6,6,5,serious
5,5,5,7,4,extraverted
5,6,7,4,5,serious
6,6,6,5,5,extraverted
3,5,4,4,2,responsible
5,4,6,7,4,dependable
6,4,7,5,5,serious
4,6,3,6,5,serious
5,4,5,8,1,lively
5,4,6,7,5,extraverted
5,5,7,6,4,serious
7,5,5,4,5,serious
6,3,6,6,6,serious
3,5,3,5,5,extraverted
6,6,6,4,6,responsible
8,3,6,7,6,serious
2,7,6,6,4,extraverted
6,6,1,5,5,responsible
6,7,3,1,5,extraverted
5,8,2,5,7,extraverted
7,7,8,4,2,lively
6,6,3,6,6,dependable
6,6,3,6,3,extraverted
7,7,7,5,6,dependable
7,6,6,6,5,serious
6,7,7,4,5,dependable
4,6,3,5,4,lively
5,7,5,4,5,extraverted
6,6,5,4,4,dependable
2,5,5,3,7,serious
5,4,6,4,5,serious
7,8,7,4,3,extraverted
1,6,7,8,7,serious
3,7,3,2,5,extraverted
5,6,7,5,4,responsible
6,7,7,6,5,serious
2,6,5,5,3,extraverted
3,7,6,3,7,serious
3,7,6,6,7,serious
6,6,3,5,7,serious
6,7,4,4,5,extraverted
3,7,7,5,6,serious
4,4,5,2,3,serious
6,8,1,3,6,extraverted
6,5,6,7,5,serious
4,5,7,7,5,serious
7,5,7,5,5,serious
2,5,3,6,6,serious
3,6,6,6,5,extraverted
5,4,5,7,8,serious
2,6,6,7,6,extraverted
5,6,2,2,3,extraverted
6,5,5,5,7,serious
1,5,4,7,6,serious
3,3,2,6,4,responsible
6,6,3,6,5,extraverted
2,3,7,8,5,serious
4,7,3,5,4,responsible
7,3,4,7,5,serious
6,6,2,5,6,extraverted
6,4,8,5,5,serious
1,4,2,5,5,lively
5,3,4,5,2,responsible
6,8,6,4,4,extraverted
5,1,6,6,3,lively
7,4,7,6,7,serious
6,2,3,5,4,responsible
5,5,5,5,5,responsible
7,1,7,8,5,lively
6,2,2,4,4,dependable
4,4,5,4,5,serious
5,5,3,4,3,serious
5,4,4,6,6,serious
4,3,1,7,5,serious
7,4,4,3,6,responsible
6,6,3,2,6,serious
5,8,5,5,4,extraverted
1,7,6,3,7,serious
5,5,4,5,3,lively
3,2,7,4,6,serious
6,6,8,2,1,responsible
6,2,7,1,4,responsible
5,6,3,5,4,serious
4,6,5,6,2,extraverted
1,6,7,4,6,serious
4,6,6,3,6,serious
4,2,6,2,3,responsible
7,7,4,4,5,extraverted
6,5,5,5,5,responsible
7,6,5,5,5,extraverted
7,5,7,2,3,lively
6,7,7,4,5,responsible
6,6,7,6,5,serious
6,5,5,6,4,extraverted
6,5,7,4,3,extraverted
7,7,2,7,6,extraverted
5,8,5,6,6,extraverted
5,6,4,6,7,extraverted
5,5,4,4,5,lively
4,6,6,4,5,serious
5,8,4,6,6,extraverted
7,4,3,8,5,extraverted
3,7,1,5,5,extraverted
5,5,6,6,4,extraverted
5,8,7,1,1,extraverted
6,5,5,7,5,extraverted
6,3,7,1,8,serious
5,6,6,4,4,serious
4,4,5,6,4,serious
4,7,7,3,6,serious
6,3,2,4,8,serious
4,5,6,5,5,serious
6,3,6,4,6,serious
1,2,5,8,4,serious
3,3,6,5,5,serious
4,4,7,5,6,serious
6,5,6,4,3,extraverted
2,5,8,3,7,dependable
7,5,6,2,7,serious
6,7,5,4,3,extraverted
5,7,3,5,6,extraverted
